Day,Reconstruction_Error,Risk_Status
0,0.003960511742917517,Normal
1,0.003647170577620705,Normal
2,0.004715272046469275,Normal
3,0.006237298265006745,Normal
4,0.0034857021148316752,Normal
5,0.0031934519856978115,Normal
6,0.003132700607907251,Normal
7,0.007112839113742941,Normal
8,0.009758716873325654,Normal
9,0.009167866465252734,Normal
10,0.007552825185159702,Normal
11,0.009133499991754238,Normal
12,0.0085007011120749,Normal
13,0.0034545659663955406,Normal
14,0.005259651197980467,Normal
15,0.004548678774684762,Normal
16,0.003284489178692567,Normal
17,0.003925593055520539,Normal
18,0.00503272445361133,Normal
19,0.003212636733530578,Normal
20,0.004073424766952742,Normal
21,0.0025742680789604963,Normal
22,0.002773555098176721,Normal
23,0.0032361969135024714,Normal
24,0.003399619384255522,Normal
25,0.003167873585161831,Normal
26,0.004995845321633155,Normal
27,0.005333703286444528,Normal
28,0.005417616155898951,Normal
29,0.006115905889585062,Normal
30,0.005519957519050193,Normal
31,0.0032416419270596595,Normal
32,0.00405994532017726,Normal
33,0.005801623134110046,Normal
34,0.006464560936715425,Normal
35,0.004714799376980288,Normal
36,0.002564482406114429,Normal
37,0.0045430799831548095,Normal
38,0.004087417890536206,Normal
39,0.0030563000010370837,Normal
40,0.0054947550477363345,Normal
41,0.006232530816185921,Normal
42,0.003970903848421473,Normal
43,0.005919923719253207,Normal
44,0.024979308592163706,Normal
45,0.009636557242864618,Normal
46,0.020879160059405,Normal
47,0.01778487088228813,Normal
48,0.024054992812489757,Normal
49,0.0475703894053782,High Risk
50,0.009238347299265471,Normal
51,0.0206351257968099,Normal
52,0.009750480791625873,Normal
53,0.03420181431457594,Warning
54,0.03220636336616413,Warning
55,0.026327254301477886,Normal
56,0.04790038527667569,High Risk
57,0.023482528188467088,Normal
58,0.018971092908056732,Normal
59,0.011258095586587821,Normal
60,0.028501346432624315,Normal
61,0.024183675886989272,Normal
62,0.017281171275261742,Normal
63,0.021355763736589234,Normal
